Run Number	BLP1	BLP2	Spin	Beam Intensity	GR Trigger	GR Trigger Live	GR Clock	GR Clock Live	LAS Trigger (Broken Channel)	LAS Trigger Live	LAS Clock	LAS Clock Live	GR Singles Event	LAS Singles Event	GR-LAS Coincidence	LAS Singles Sampling	LAS Trigger	GR Singles Sampling	N/U	BLP1 Left	BLP1 Right	BLP1 Up	BLP1 Down	BLP1 Left  Chance	BLP1 Right Chance	BLP1 Up    Chance	BLP1 Down  Chance	BLP2 Left	BLP2 Right	BLP2 Up	BLP2 Down	BLP2 Left  Chance	BLP2 Right Chance	BLP2 Up    Chance	BLP2 Down  Chance	BLP Clock	BLP Clock Live	BLP Trigger	BLP Trigger Live	Akimune Up	Akimune Down	Akimune Left	Akimune Right	Beam Loss Monitor 1	Beam Loss Monitor 2	Beam Loss Monitor 3	GR Scintillator 1	BI Range #1	BI Range #2	BI Range #3	BI Range #4	V830 Test #0	V830 Test #1	V830 Test #2	V830 Test #3	V830 Test #4	V830 Test #5	V830 Test #6	V830 Test #7	V830 Test #8	V830 Test #9	V830 Test #10	V830 Test #11	V830 Test #12	V830 Test #13	V830 Test #14	V830 Test #15	V830 Test #16	V830 Test #17	V830 Test #18	V830 Test #19	V830 Test #20	V830 Test #21	V830 Test #22	V830 Test #23	V830 Test #24	V830 Test #25	V830 Test #26	V830 Test #27	V830 Test #28	V830 Test #29	V830 Test #30	V830 Test #31
9999	IN	IN	UNPOL	13951	27599	1638	1605447	93802	0	0	1605447	93817	1638	0	0	0	0	1638	0	1863	125	1861	1935	10	4	3	10	2077	1881	2008	2119	7	7	4	7	1593719	799056	13811	6086	21970	7451	10614	19667	0	28508	0	0	1699833	1700805	0	1700799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13951	27599	1638	1605447	93802	0	0	1605447	93817	1638	0	0	160	0	1638	0
1008	IN	IN	UNPOL	12516	46409	42694	592049	546162	0	1874639	592049	547776	41224	1873181	1458	93658	2071242	41224	0	10884	14819	78399	30939	9799	12445	71002	26725	1213	1735	1645	1777	7	7	15	9	592045	12048	261309	4443	90820	23568	61641	23957	0	11557	22	0	1222525	1235925	0	1234041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12516	46409	42694	592049	546162	2071242	1874639	592049	547776	41224	1873181	1458	59	0	41224	0
9999	OUT	OUT	UNPOL	990160	20658575	391805	157819545	4120174	0	0	157819545	4123844	391805	0	0	0	3702436	391805	0	625266	1058013	3007098	2204605	558423	928393	2749991	1996804	17815	145504	12722	12939	14813	132353	9508	10021	157818300	101457212	13476794	431669	2338655539	1401094597	3015802751	2503315056	0	5061950	447954	0	173216132	172674211	0	170211557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	990160	20658576	391805	157819551	4120174	3702436	0	157819551	4123844	391805	0	0	15732	0	391805	592
9999	IN	OUT	UNPOL	0	7	0	23832	0	0	0	23832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23831	23833	0	0	0	0	0	1	0	468	0	0	23839	23838	0	23837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	23832	0	0	0	23832	0	0	0	0	4	0	0	0
9999	OUT	IN	UNPOL	40	2121	0	85718	0	0	0	85718	0	0	0	0	0	0	0	0	20	87	77	91	16	65	58	47	7	20	9	4	0	12	0	0	85716	73501	513	94	12507	3244	1118864	11355	0	2289	0	0	85780	85768	0	85740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	2121	0	85718	0	0	0	85718	0	0	0	0	15	0	0	0
9999	IN	IN	UNPOL	690	1318	0	70257	0	0	0	70257	0	0	0	0	0	0	0	0	98	10	91	90	1	1	0	2	93	104	90	111	0	1	0	1	70255	32437	693	290	1149	359	516	944	0	1205	0	0	70257	70257	0	70257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	690	1318	0	70257	0	0	0	70257	0	0	0	0	7	0	0	0
1014	IN	IN	UNPOL	14752	67107	64566	762788	737772	0	2452247	762788	739967	62305	2449995	2252	122500	2583809	62305	0	19768	25466	133692	55902	17906	22348	123053	50119	1439	2068	2059	2143	14	15	16	12	762779	11044	455832	5760	180424	44008	121331	50180	0	17696	164	0	1618761	1637561	0	1634868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14752	67107	64566	762788	737772	2583809	2452247	762788	739967	62305	2449995	2252	76	0	62305	0
1007	IN	IN	UNPOL	40232	179110	175481	3983762	3914442	0	6500378	3983762	3920312	172202	6497120	3258	324857	6749675	172202	0	47183	63970	355852	134575	41275	52580	312808	113118	3750	5474	5391	5768	11	18	17	13	3983726	120166	1141476	29591	518351	114079	333056	115583	0	77080	113	0	8191659	8270955	0	8262837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40232	179110	175481	3983762	3914442	6749675	6500378	3983762	3920312	172202	6497120	3258	397	0	172202	0
1009	IN	IN	UNPOL	22326	90399	85130	1153899	1089312	0	3510689	1153899	1092394	82315	3507893	2796	175395	3794173	82315	0	23670	31998	167824	68910	21678	27450	153299	60704	2274	3146	3036	3256	22	28	15	11	1153887	21263	567097	8670	211120	53592	143411	57459	0	23805	106	0	2408540	2443912	0	2439127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22326	90399	85130	1153899	1089312	3794173	3510689	1153899	1092394	82315	3507893	2796	115	0	82315	0
9999	IN	IN	UNPOL	7757	33583	32377	401395	388170	0	1271457	401395	389295	31231	1270318	1139	63516	1338733	31231	0	7591	10176	53500	22163	7116	8786	49216	19380	758	1091	1058	1162	8	9	7	12	401386	8025	181962	3016	79237	19809	53441	21768	0	8766	52	0	851288	864931	0	863104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7757	33583	32377	401395	388170	1338733	1271457	401395	389295	31231	1270318	1139	40	0	31231	0
